col0_1	col0_2	abc_1	abc_2
171.365326	156.440765	174.044754	192.905884
101.604958	89.751755	44.321445	42.394024
76.235489	67.372017	87.78154	97.239952
2.418729	1.908329	2.378519	3.360416
1	1	1	1
17.3922078449477	13.4364951387921	26.0441096173055	23.8239647549361
2.95771863768116	1	4.34651331884058	5.52287710144928
31.903225	32.981857	7.014586	2.04482
69.925415	66.908043	50.977634	46.816833
116.198516510029	107.79911175008	83.393871974212	97.5481743170965
6.7402651347181	5.39863931632047	4.99262486884273	5.89636140534125
51.466442	54.161785	49.201305	56.400295
4.39398396721312	6.209661	13.3190165409836	14.9277690163934
81.323624	75.797768	70.905876	79.629623
23.6849537150327	18.2882163960784	17.1949806196078	16.5927805163399
53.785862	58.352535	66.763443	84.555458
4.647094	3.66421	1.700929	1.011896
48.5305878291551	43.2310850649954	14.4547725561746	18.0881008579387
860.361511	615.365295	63.908489	71.087067
47.654503	41.641697	26.176329	33.852905
10.22278	9.244794	19.511923	17.246964
706.094055	938.751404	752.468201	771.178284
31.033401	33.265392	17.157106	19.199108
263.995331	181.991562	60.443485	61.945316
30.169424	25.06185	38.590607	43.75351
318.24826	326.748871	535.143066	581.7677
93.009598	118.643471	173.544724	289.362152
1.776829	1.802019	1.091782	1.110055
119.883224	109.661789	135.437973	114.378899
3.535815	3.001284	2.38333	2.660101
50.924351	37.84354	61.299442	66.707695
9.27458709694365	8.03642199140401	9.42052553342884	8.3472494756447
22.215328	16.860665	16.896948	16.098202
67.1286985227168	65.0299900201928	39.2112291959614	36.9481372776503
51.530651	54.459442	35.679394	33.578136
63.730762	56.963989	173.819702	191.698212
6.9049	10.413133	1.493584	1.295926
12.42893	15.508653	5.355234	4.577236
1.768391	1.56014	1.299142	1.442157
1	1	1.243745	1.292272
3.34302974375679	3.949124669924	1.82425884907709	1.4603947155266
1	1.054367	1.174206	1
20.7369104531987	27.0246478808081	12.5391637077441	9.659045396633
4.491448	4.082781	4.23267	4.0797
33.179676	15.800705	45.611691	49.834324
56.371735	49.968674	30.859379	32.079563
13.6001933551198	11.156402372549	2.83916238562091	1
61.317455	57.018295	42.755676	46.272392
14.562491	10.962446	11.836729	9.208499
153.97645644573	109.534759442038	155.472224105833	153.051050501846
20.687521	19.766535	15.394101	12.431
11.918185	10.432303	9.912897	10.269527
92.458633	95.854912	41.361511	55.628807
1	1	1.219371	1.52609
136.932587	131.469467	55.135845	96.910805
1.633923	1.192548	1	1.076912
121.495026	110.227783	83.58844	67.990074
21.296188	16.938716	62.949902	63.402489
23.700909	18.504856	16.348543	14.366639
1	1	1	1
256.645975683735	246.124286798193	1	1.42784514457831
283.648499	241.672867	194.396164	137.216827
15.7909754634483	12.8596430158621	19.177536017931	17.1938545544828
8.420547	7.222832	38.727951	4.90748
8.850562	5.644825	10.491049	6.486092
8.224493	7.484324	3.445881	2.508682
31.6254859325843	28.9029626645265	95.2967485371857	68.5274293515249
1.343424	1.090485	4.116854	2.067597
2.919543	8.354429	1295.136963	3228.772949
40.676109	29.965256	33.277836	39.255249
56.5013059100127	58.0923636964512	53.8673767560203	53.2566272179975
9.255709	6.990366	3.730049	3.970517
29.7420420922118	20.4766884523364	16.4353421420561	15.510025388162
1	1	1.385677	1.416682
12.377779	7.180967	10.449488	11.243393
1.488819	1.457541	2.623102	3.222271
74.016426	56.396564	96.488976	107.441635
20.9956472872076	17.4126997142857	12.2684128446989	29.253948481334
23.056398	24.950352	6.761012	7.335213
165.698929	108.423828	241.894226	528.202026
19.6655071613124	36.2664954190021	4.64648090772386	13.7711761264525
110.029419	142.087601	14.083925	6.112902
1	1	1	1
1.838576	1.145548	1	1
1	1.070823	1	1
66.747566	45.935383	61.856659	70.787323
1.171911	1	1.083659	1
23.195057	22.541489	9.233952	7.116088
10.379772	8.336161	21.252958	17.671665
