ctl_water1	ctl_water2	ctl_water3	ctl_drought1	ctl_drought2	ctl_drought3	h1_water1	h1_water2	h1_water3	h1_drought1	h1_drought2	h1_drought3
3.93952748639287	5.31597418555171	4.85202059574468	4.70277069124196	5.72815768085106	5.06120352003958	5.06194524542306	5.070186369619	4.65466886838199	4.79344909401286	5.33700385947551	5.00444003809995
18.375406	18.46641	19.603939	16.412723	14.923748	14.973668	15.980471	17.766943	16.903995	15.463611	13.847166	16.088841
1	1	1	1	1	1	1	1	1	1	1	1
1	1.043308	1.07236	1.03571	1.055647	1	1	1	1	1	1.0961	1
101.782314402204	100.008124714756	96.8713280623458	86.3464199445633	65.0928049022866	85.8790490115151	93.1355932753742	90.700092781214	88.4663175134068	83.3060178100016	80.6167895940122	79.0925352656687
1	1	1	1	1	1	1	1	1	1	1	1
2.28141757706627	2.31411271481757	1.83793021034996	2.13013876545048	1.56686864705882	2.53970429635145	2.14272415152643	2.21876879486225	2.12664069731943	3.05093263291139	2.66282112509308	2.64771541399851
11.021717	9.525306	10.600167	9.716827	6.682055	9.026908	8.736886	9.753955	10.936281	11.645955	9.10318	10.810658
1.07457495330296	1.35807916173121	1	1.17091605808656	1.15479123462415	1.16403605125285	1.12333944419134	1	1	1.20089029954442	1.33123365148064	1.31390987243736
7.130748	8.834557	7.537848	8.512384	6.662015	10.011271	7.631769	8.530942	8.656307	8.967975	8.863438	9.788419
2.74400748903879	2.21669543844857	2.26007486790332	1.89354106520517	1.57780111804384	2.37005005059022	2.12966208881394	2.83279668015739	2.32318457110736	2.04605898032603	2.19293083923553	2.10441833670601
2.07272120140515	1.55055532786885	1.70702066042155	2.1339581381733	1.67316824355972	2.30061065339578	1.89497448477752	1.89185094613583	1.87542601288056	1.73094870257611	2.56592980327869	1.82178094847775
6.57883134041394	5.60132481590414	5.12871870533769	5.98883485076253	5.15801309313725	7.87605147276688	6.91576324183007	6.05832539433551	6.94949002015251	7.26961450108932	5.13452710893246	5.98598977124183
1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1
7.47837007064018	6.52188148785872	7.54867794922737	7.93042703311258	5.2509625187638	6.54558835320088	6.1645594392936	6.72207098013245	7.19106303311258	5.64265541280353	6.42889092273731	6.03020150110375
45.079395	40.845268	42.526192	45.737991	20.261745	48.408169	46.700359	45.112137	42.726269	44.360168	43.60738	37.365646
7.514376	7.034128	6.325086	7.327852	4.980597	8.742781	7.825517	7.250998	7.699263	8.536239	8.520447	8.319702
4.10531334031853	3.75355088935457	3.40201930595138	3.36775977619447	2.45526518021794	3.54762993042749	3.5610667736798	3.9497245255658	4.12217437720034	4.20926396060352	3.99867625398156	3.48571494719195
1.351774	1.102768	1.046662	1.194821	1.122104	1.176765	1.268757	1.434471	1.223434	1.309958	1.141555	1.219585
1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.018485	1
13.539152	19.499109	20.617941	19.976332	20.161551	22.052492	17.668253	16.956609	17.31197	20.229261	20.067482	22.181257
1.05891475531915	1.02739196808511	2.26624722098646	1	1.0523559787234	1.0986130212766	1.0367339893617	1	1.15692272340426	1.07054339361702	1.04267706382979	1.14468128723404
